,OBJECTID,Reg_Code,Reg_Name,Pro_Code,Pro_Name,Mun_Code,Mun_Name,Shape_Leng,Shape_Area,area,population,N_data,N_data_1,Wind_Speed,wind_10-31_3,wind_10-31_6,wind_10-31_9,wind_10-31_12,wind_10-31_15,wind_10-31_18,wind_10-31_21,wind_11-01_0,wind_11-01_3,wind_11-01_6,wind_11-01_9,wind_11-01_12,wind_11-01_15,wind_11-01_18,wind_11-01_21,wind_11-02_0,Max_Wind_Speed
1481,1482,PH160000000,REGION XIII (Caraga),PH166700000,SURIGAO DEL NORTE,PH166717000,PLACER,0.7624025552,0.00529173515,65.1994687831,12866.350778799999,1,,3.1906675231559802,3.1906675231559802,9.756013288534321,8.5643504502329,10.1076273375392,8.70218209445404,17.0781140860575,13.1299759648016,11.577036564427301,11.1042986919963,8.31503400081765,5.2382829737927405,5.547615494998761,4.57316298767116,1.27962232197424,3.077916657406,2.91314837863552,17.0781140860575
1482,1483,PH160000000,REGION XIII (Caraga),PH166700000,SURIGAO DEL NORTE,PH166718000,SAN BENITO,0.9636173785,0.00407104641,50.159362817600005,9898.36219372,1,,10.3844825864838,10.3844825864838,10.816715417453402,5.50383919539847,27.7685466524229,27.924695358629798,28.041464623951697,29.5337173022586,19.242212928532897,6.006863703628389,9.34264652791243,9.2766059454594,2.11536661394074,3.1396573848757203,5.302863068968559,8.16780276094905,6.22701161919595,29.5337173022586
1483,1484,PH160000000,REGION XIII (Caraga),PH166700000,SURIGAO DEL NORTE,PH166719000,SAN FRANCISCO (ANAO-AON),0.33180435234,0.00458927291,56.5444315241,11158.380645700001,0,,16.2856587286428,16.2856587286428,11.324287304361599,12.768236343396099,24.447597684650802,29.2413861424541,36.255672356089796,27.290709964474,24.766809800658102,23.9414019641905,21.244233059187398,13.8883746223912,19.5345058803098,11.7890290432704,28.8416074403031,15.255352622395199,10.9098085480146,36.255672356089796
1484,1485,PH160000000,REGION XIII (Caraga),PH166700000,SURIGAO DEL NORTE,PH166720000,SAN ISIDRO,0.28440874338000005,0.00430129189,52.9962173767,10458.182182200002,1,,10.3844825864838,10.3844825864838,10.816715417453402,5.50383919539847,27.7685466524229,27.924695358629798,28.041464623951697,29.5337173022586,19.242212928532897,6.006863703628389,9.34264652791243,9.2766059454594,2.11536661394074,3.1396573848757203,5.302863068968559,8.16780276094905,6.22701161919595,29.5337173022586
1485,1486,PH160000000,REGION XIII (Caraga),PH166700000,SURIGAO DEL NORTE,PH166721000,SANTA MONICA (SAPAO),0.37589109932,0.0024910710600000003,30.692486530300002,6056.80238418,2,,10.3844825864838,10.3844825864838,10.816715417453402,5.50383919539847,27.7685466524229,27.924695358629798,28.041464623951697,29.5337173022586,19.242212928532897,6.006863703628389,9.34264652791243,9.2766059454594,2.11536661394074,3.1396573848757203,5.302863068968559,8.16780276094905,6.22701161919595,29.5337173022586
1486,1487,PH160000000,REGION XIII (Caraga),PH166700000,SURIGAO DEL NORTE,PH166722000,SISON,0.33769024163,0.0053725799399999994,66.1955574407,13062.9171974,0,,3.1906675231559802,3.1906675231559802,9.756013288534321,8.5643504502329,10.1076273375392,8.70218209445404,17.0781140860575,13.1299759648016,11.577036564427301,11.1042986919963,8.31503400081765,5.2382829737927405,5.547615494998761,4.57316298767116,1.27962232197424,3.077916657406,2.91314837863552,17.0781140860575
1487,1488,PH160000000,REGION XIII (Caraga),PH166700000,SURIGAO DEL NORTE,PH166723000,SOCORRO,1.27882940825,0.010369288459999999,127.76000311600001,25211.9387822,0,,10.3844825864838,10.3844825864838,10.816715417453402,10.4123524172024,27.7685466524229,27.924695358629798,28.041464623951697,29.5337173022586,19.242212928532897,8.29512662915051,10.163517352401199,9.2766059454594,13.945394709180901,6.12003044147012,5.63091818706886,8.16780276094905,6.22701161919595,29.5337173022586
1488,1489,PH160000000,REGION XIII (Caraga),PH166700000,SURIGAO DEL NORTE,PH166724000,SURIGAO CITY (Capital),3.8271192638,0.02328404329,286.882697376,56612.93697180001,1,,16.2856587286428,16.2856587286428,11.324287304361599,12.768236343396099,24.447597684650802,29.2413861424541,36.255672356089796,27.290709964474,24.766809800658102,23.9414019641905,21.244233059187398,13.8883746223912,19.5345058803098,11.7890290432704,28.8416074403031,15.255352622395199,10.9098085480146,36.255672356089796
1489,1490,PH160000000,REGION XIII (Caraga),PH166700000,SURIGAO DEL NORTE,PH166725000,TAGANA-AN,1.43713799972,0.00527509799,64.9944823348,12825.8991065,0,,16.2856587286428,16.2856587286428,11.324287304361599,12.768236343396099,24.447597684650802,29.2413861424541,36.255672356089796,27.290709964474,24.766809800658102,23.9414019641905,21.244233059187398,13.8883746223912,19.5345058803098,11.7890290432704,28.8416074403031,15.255352622395199,10.9098085480146,36.255672356089796
1490,1491,PH160000000,REGION XIII (Caraga),PH166700000,SURIGAO DEL NORTE,PH166727000,TUBOD,0.22594003876,0.0030626711699999996,37.7351714856,7446.59369308,0,,3.1906675231559802,3.1906675231559802,9.756013288534321,8.5643504502329,10.1076273375392,8.70218209445404,17.0781140860575,13.1299759648016,11.577036564427301,11.1042986919963,8.31503400081765,5.2382829737927405,5.547615494998761,4.57316298767116,1.27962232197424,3.077916657406,2.91314837863552,17.0781140860575
1491,1492,PH160000000,REGION XIII (Caraga),PH166800000,SURIGAO DEL SUR,PH166801000,BAROBO,1.33680365144,0.01904921571,234.70538676299998,23563.4166675,1,,11.658969099117401,11.658969099117401,6.25988341859434,7.4286757138559905,18.3233626309386,16.1660765879483,18.5001352985359,18.4529741993265,23.565887217715503,15.4584143369603,20.2975408004446,12.8982528252321,30.940336501804104,25.4751543099788,24.8921891699398,21.6243725458482,18.429376367997502,30.940336501804104
1492,1493,PH160000000,REGION XIII (Caraga),PH166800000,SURIGAO DEL SUR,PH166802000,BAYABAS,0.48983521015000003,0.00441665396,54.4175934412,5463.29356126,1,,28.9057486215487,28.9057486215487,10.387800421417099,8.27049484154294,9.70801504659416,21.2287640727098,14.7086303568454,14.2445815031915,15.0270379098517,20.310220294121102,25.1267835990338,6.90589099547868,25.1477309164793,14.6560268981744,10.753034164893698,15.67567371035,15.8646933499485,28.9057486215487
