"disaster_type","disaster_name","pcode","Completely.damaged..abs..","Partly.damaged..abs..","Total.damaged.houses..abs..","total_damage_houses_0p25weight","Partly.damaged..rel..","Completely.damaged..rel..","Total.damaged.houses..rel..","total_damage_houses_0p25weight_perc","ratio_comp_part","Total...of.houses","Wind.speed","Distance.to.typhoon","rainfall","distance_first_impact","Slope","Elevation","ruggedness_stdev","Ruggedness","slope_stdev","Population","land_area","Population.density","Poverty.incidence","X..strong.roof.type","X..strong.wall.type","X..skilled.Agriculture.Forestry.Fishermen","Region","prov","Experience","Prop.Completely.Damaged","Prop.Damaged","td.residual"
"Typhoon","Nock-Ten","PH175208000",566,186,752,612.5,0.722344123,2.198100934,2.920445057,2.378686965,1.856830404,25749.5,71.80164652,48.32294584,206.7,342.6135896,8.702157668,265.06947,58.9294745,44.31269873,11.84318355,103014,496.5686,207.4513,0.2049,0.751819474,0.674777141,0.106506923,"metro luzon","0",2.304347826,0.752659574516351,0.02920445057,-0.0178927617754796
"Typhoon","Haima","PH025009000",1,1,2,1.25,0.010608673,0.010608673,0.021217345,0.013260841,1,9426.25008,53.37827343,169.2666223,379.7538462,172.0882198,13.77710179,837.0000406,35.9064256,68.24538972,7.79258385,37705,711.1268,53.0215,0.2275,0.950445633,0.364943553,0.208301286,"north luzon","0",3.541666667,0.500000023565625,0.00021217345,-0.0118936234348529
"Typhoon","Bopha","PH160314000",1,53,54,14.25,0.696406281,0.013139741,0.709546022,0.187241311,0.597227063,7610.499999,56.15688417,112.371552,278.4166369,174.0207195,14.14087724,547.8568027,40.23063206,71.0348565,8.337497126,30436,908.1219,33.5154,0.4775,0.798854041,0.186519903,0.177189409,"minandao","0",1.142857143,0.0185185183097256,0.00709546022,-0.0480011764183464
"Typhoon","Nock-Ten","PH056216000",6,61,67,21.25,0.145143061,0.014276367,0.159419428,0.050562132,0.885720222,42027.49994,79.93315078,53.30610752,270.4,69.34441766,8.824635343,220.5774242,44.0899269,44.72222753,8.943825852,168110,339.0785,495.7798,0.1951,0.78845662,0.70165024,0.057498067,"central","0",2.8,0.0895522407720595,0.00159419428,-0.144348377284819
"Typhoon","Haiyan","PH072221000",13660,622,14282,13815.5,2.946819851,64.71633306,67.66315291,65.45303802,16.65045164,21107.5,188.6820631,9.014153042,447.1714882,115.3276177,2.182432807,27.22365787,9.427438963,12.25632408,1.881768523,84423,110.8201,761.8044,0.2835,0.965162272,0.50902088,0.082186427,"central","0",1.277777778,0.956448676668679,0.6766315291,-0.126913890857781
"Typhoon","Bopha","PH160304000",559,2395,2954,1157.75,33.95116419,7.924300953,41.87546515,16.412092,0.2553363,7054.249999,95.90854299,33.90694733,352.9078998,128.4015523,10.15358168,350.330105,44.14083474,54.33057979,9.153100129,28211,1209.3509,23.3274,0.5282,0.265345025,0.07624857,0.178934685,"minandao","0",1.142857143,0.189234935650619,0.4187546515,0.00566121593129826
"Typhoon","Melor","PH084815000",3714,3711,7425,4641.75,44.89746537,44.93376081,89.83122618,56.15812716,1.000790794,8265.5,119.4570531,11.94909441,248.4,29.22160484,6.598409491,63.10325077,31.73996884,34.4838915,6.681855699,33071,198.2528,166.8081,0.5546,0.417937972,0.31969824,0.133990684,"central","0",2.333333333,0.500202020174629,0.8983122618,0.263731166879303
"Typhoon","Koppu","PH141106000",70,225,295,126.25,1.504513541,0.468070879,1.97258442,0.844199264,0.586170071,14955,96.21996103,15.99674275,495.7333333,113.9846175,21.5571861,936.8886322,43.27822327,109.8615313,9.13829162,59821,499.4621,119.7707,0.0476,0.97922974,0.562095184,0.030742227,"north luzon","0",2.944444444,0.237288135429966,0.0197258442,-0.0842526940099696
"Typhoon","Sarika","PH141103000",1,4,5,2,0.104187016,0.026046754,0.13023377,0.052093508,0.929232765,3839.249989,69.05406347,76.39368658,257.8666667,140.4944683,24.53685557,1418.897366,60.08688768,127.8624719,10.81405949,15363,360.3464,42.634,0.2648,0.991634299,0.424260532,0.224588136,"north luzon","0",2.944444444,0.2,0.0013023377,-0.0119734186013194
"Typhoon","Haima","PH025006000",1,1,2,1.25,0.022072619,0.022072619,0.044145238,0.027590774,1,4530.499983,61.16465591,136.1374043,377.76,142.4203318,9.702160741,366.6153328,29.51872647,48.94370956,6.742101519,18122,242.9519,74.5909,0.1652,0.880254488,0.580740404,0.160688666,"north luzon","0",3.541666667,0.5,0.00044145238,-0.0461305259159582
