disaster_type,disaster_name,pcode,Completely damaged (abs.),Partly damaged (abs.),Total damaged houses (abs.),total_damage_houses_0p25weight,Partly damaged (rel.),Completely damaged (rel.),Total damaged houses (rel.),total_damage_houses_0p25weight_perc,ratio_comp_part,Total # of houses,Wind speed,Distance to typhoon,rainfall,distance_first_impact,Slope,Elevation,ruggedness_stdev,Ruggedness,slope_stdev,Predicted damage class (1-5),Population,land_area,Population density,Poverty incidence,% strong roof type,% strong wall type,% skilled Agriculture/Forestry/Fishermen,Region,prov,Experience,Bicol region
Typhoon,Bopha,PH101322000,54,37,91,63.25,0.435332529,0.635350178,1.070682707,0.74418331,1.139352829,8499.250002,130,1.67311773,431.7173823,146.2838326,11.37862005,580.0169556,45.34695708,58.37389289,9.394641547,,33994,380.3781,89.3689,0.593,0.929469577,0.313918196,0.172868194,minandao,0,1,0
Typhoon,Bopha,PH101801000,5,64,69,21,1.523990951,0.119061793,1.643052744,0.500059531,0.44336997,4199.500001,70,75.34559129,359,270.5861151,14.561382,408.3015388,53.49374167,71.76738564,10.43570363,,16799,90.326,185.9822,0.439,0.94679803,0.544581281,0.120966782,central,0,1,0
Typhoon,Bopha,PH101802000,1,14,15,4.5,0.891577774,0.063684127,0.955261901,0.28657857,0.562326404,1570.25,70,75.5177705,419.7321994,258.9380793,13.80617166,272.6269029,42.36161136,67.98649026,8.484403742,,6276,36.8973,170.0928,0.6882,0.842975207,0.361570248,0.11065117,central,0,1,0
Typhoon,Bopha,PH101803000,1,5,6,2.25,0.142470437,0.028494087,0.170964525,0.064111697,0.900236937,3509.499997,70,80.00526077,419.2062541,262.7491459,14.0604478,337.5352538,47.20586339,69.23638865,9.604119768,,14038,37.5057,374.2861,0.4345,0.935545629,0.541161455,0.07166263,central,0,1,0
Typhoon,Bopha,PH101804000,3,4,7,4,0.041306312,0.030979734,0.072286046,0.041306312,0.990083054,9683.750028,70,82.16369827,414.8890204,271.426977,11.49193852,297.7903689,45.72349319,55.26559997,9.317471699,,38733,89.1805,434.3213,0.3086,0.978576446,0.658745025,0.064463663,central,0,1,0
Typhoon,Bopha,PH101805000,12,79,91,31.75,2.502772058,0.380167907,2.882939965,1.005860922,0.394021616,3156.5,70,74.24305785,415.6190837,263.0381644,13.49667076,384.7913105,42.59044206,65.95099572,8.599885186,,12639,43.3399,291.6266,0.4994,0.807304348,0.362782609,0.113337557,central,0,1,0
Typhoon,Bopha,PH103501000,9,87,96,30.75,1.510810107,0.156290701,1.667100808,0.533993227,0.460524951,5758.499998,80.06395772,57.47672156,304.107591,286.4465427,4.326343961,168.3321927,17.12718207,22.60340193,3.374307354,,23043,76.9086,299.616,0.3775,0.825822884,0.288989028,0.090995919,minandao,0,1,0
Typhoon,Bopha,PH103504000,82,1285,1367,403.25,1.500213065,0.095733441,1.595946506,0.470786707,0.438256025,85654.5,97.86622349,31.91188572,359.8784317,251.6292512,12.49393473,343.4296336,36.98301189,62.56038011,7.922390937,,342613,649.2907,527.6775,0.1748,0.936085844,0.585355071,0.037741742,minandao,0,1,0
Typhoon,Bopha,PH103505000,3,15,18,6.75,0.095460837,0.019092167,0.114553005,0.042957377,0.930286262,15713.24995,53.8833907,97.85632469,185.4146815,314.3774178,4.881688448,87.90084713,26.17216272,25.5174304,5.701275317,,62843,162.6539,386.3597,0.4354,0.665474061,0.402355397,0.098945158,minandao,0,1,0
Typhoon,Bopha,PH103507000,1,2,3,1.5,0.030443717,0.015221859,0.045665576,0.022832788,0.98522786,6569.499966,82.03742358,54.75229651,328,279.9608123,5.039969947,208.1321403,21.73474772,26.44343329,4.168880939,,26280,85.4937,307.3916,0.4114,0.86489058,0.361941009,0.099550955,minandao,0,1,0
