pcode,N damaged,P damaged,N houses,Wind speed,Distance to typhoon,Poverty incidence,p strong roof,p strong wall,Experience,Region
PH153610000,7,0.001481952,4723.499999,85.56659104,48.18303565,0.7476,0.983682984,0.208041958,1,minandao
PH153611000,1,0.000110647,9037.749868,70.86723042,70.51634447,0.74,0.942711458,0.382494005,1,minandao
PH153615000,147,0.013376709,10989.25,50.56142608,106.3327459,0.6806,0.881771002,0.289371355,1,minandao
PH153622000,3,0.000539884,5556.750003,70,71.95553057,0.6433,0.999189955,0.413122722,1,minandao
PH153623000,1,0.000310897,3216.50001,60,91.04651121,0.7251,0.981625442,0.340636042,1,minandao
PH153624000,5,0.000896901,5574.749998,80,55.88780539,0.6704,0.955465587,0.489878543,1,minandao
PH153626000,1,0.000154595,6468.500001,70,69.1442745,0.683,0.929277943,0.588031652,1,minandao
PH153627000,4,0.000676704,5910.999999,70,66.17401729,0.6781,0.997483644,0.729743332,1,minandao
PH153631000,30,0.005628782,5329.749999,54.88226049,100.3332343,0.7619,0.972759857,0.138351254,1,minandao
PH153632000,1,0.000290909,3437.499999,57.7384864,97.28131165,0.7252,0.962637363,0.101098901,1,minandao
PH153633000,10,0.002479851,4032.500002,80,58.31356848,0.5284,0.92516129,0.523870968,1,minandao
PH153635000,16,0.003851941,4153.75,50.80656198,104.4064151,0.7271,0.802305722,0.245943638,1,minandao
PH153639000,6,0.001546292,3880.250001,50,114.0852562,0.6044,0.922638436,0.153501629,1,minandao
PH160201000,1,6.49E-05,15403.50002,67.339556,79.85989103,0.3076,0.657132407,0.348500366,1,minandao
PH160202000,12,0.000142407,84265.74996,61.62773639,95.76252994,0.1865,0.807901617,0.398215334,1,minandao
PH160204000,21,0.004030904,5209.75,67.63442657,84.28265361,0.3766,0.669619706,0.260587727,1,minandao
PH160206000,3,0.000643121,4664.749997,50,148.2767293,0.4003,0.645698657,0.4082546,1,minandao
PH160207000,2,0.000281551,7103.499998,70.40329956,75.39137916,0.5941,0.655807365,0.214235127,1,minandao
PH160211000,2,0.000320873,6233.000012,50.31361862,124.7520673,0.4267,0.574710425,0.406756757,1,minandao
PH160302000,1770,0.156807158,11287.75,83.80593402,49.90956712,0.391,0.742418275,0.176968504,1.142857143,minandao
PH160303000,3,0.000218974,13700.24993,77.04137454,61.3138476,0.5285,0.453268173,0.135264857,1.142857143,minandao
PH160304000,559,0.07924301,7054.249999,95.90854299,33.90694733,0.5282,0.265345025,0.07624857,1.142857143,minandao
PH160305000,5014,0.471894779,10625.25,110.8210672,21.70192305,0.4858,0.485078797,0.12931709,1.142857143,minandao
PH160306000,6,0.000290448,20657.75,64.92044001,87.77125962,0.3929,0.62252597,0.223947512,1.142857143,minandao
PH160307000,193,0.016537069,11670.75,77.47631134,63.62730376,0.3997,0.739670242,0.289332539,1.142857143,minandao
PH160308000,4,0.000214644,18635.5,72.02342608,72.69153092,0.3079,0.79260355,0.393858715,1.142857143,minandao
PH160309000,9,0.001121181,8027.250009,85.7626388,46.90006963,0.5567,0.362279512,0.087893864,1.142857143,minandao
PH160310000,1697,0.253956377,6682.25,98.63195297,30.7930872,0.3602,0.911840082,0.39261917,1.142857143,minandao
PH160311000,248,0.025850837,9593.5,79.43801751,57.87381093,0.4597,0.482885086,0.137286064,1.142857143,minandao
PH160312000,5606,0.434868612,12891.25,90.17508199,42.8065163,0.3404,0.80444935,0.317066961,1.142857143,minandao
PH160313000,3245,0.296984396,10926.5,102.3414465,28.04335373,0.4874,0.868536559,0.177137964,1.142857143,minandao
PH160313000,220,0.020134535,10926.5,102.3414465,28.04335373,0.4874,0.868536559,0.177137964,1.142857143,minandao
PH160314000,1,0.000131397,7610.499999,56.15688417,112.371552,0.4775,0.798854041,0.186519903,1.142857143,minandao
PH166702000,1,0.000276129,3621.499991,50,163.8970844,0.3714,0.616963985,0.51632447,1.181818182,minandao
PH166706000,1,0.000122052,8193.250004,50,162.4273939,0.4137,0.610609638,0.454381336,1.181818182,minandao
PH166707000,6,0.001008954,5946.750005,43.75099087,202.7619935,0.4349,0.648469487,0.403392474,1.181818182,minandao
PH166714000,1,0.000149583,6685.250102,50,156.3625208,0.4169,0.759629941,0.580053818,1.181818182,minandao
PH166716000,1,0.000410172,2437.999999,40,214.9344997,0.4638,0.551636209,0.283892903,1.181818182,minandao
PH166717000,10,0.001476342,6773.499998,50,168.1864646,0.2947,0.714895798,0.519815511,1.181818182,minandao
PH166720000,1,0.000546075,1831.25,40,221.9746853,0.4615,0.60292249,0.384371029,1.181818182,minandao
PH166721000,1,0.000454133,2202,40,228.6766355,0.361,0.659574468,0.449341439,1.181818182,minandao
PH166724000,1,2.60E-05,38534.24963,49.10995919,179.3135805,0.2154,0.873578847,0.586167997,1.181818182,minandao
PH166801000,42,0.003378243,12432.5,69.24344526,87.02653534,0.3048,0.839784234,0.296299801,1,minandao
PH166802000,3,0.001469868,2041,60,135.5291529,0.2873,0.391812865,0.307602339,1,minandao
PH166803000,575,0.024329613,23633.75,82.88303482,57.8936421,0.2058,0.671107291,0.282741504,1,minandao
